user_id,age,gender
150,0-19,female
151,50-up,male
152,0-19,male
153,50-up,male
154,0-19,male
155,50-up,female
156,0-19,female
157,20-49,female
158,20-49,male
159,50-up,undefined
160,50-up,female
161,0-19,undefined
162,50-up,male
163,0-19,female
164,0-19,female
165,50-up,female
166,0-19,male
167,0-19,undefined
168,20-49,female
169,50-up,male
170,0-19,male
171,0-19,female
172,0-19,male
173,50-up,male
174,50-up,female
175,0-19,undefined
176,0-19,undefined
177,0-19,female
178,0-19,male
179,50-up,male
180,0-19,male
181,0-19,male
182,50-up,male
183,0-19,female
184,0-19,female
185,0-19,undefined
186,50-up,male
187,50-up,female
188,50-up,male
189,20-49,undefined
190,50-up,male
191,20-49,male
192,0-19,undefined
193,0-19,undefined
194,50-up,female
195,50-up,female
196,0-19,female
197,50-up,male
198,0-19,male
199,50-up,male
200,0-19,male
201,20-49,male
202,0-19,undefined
203,0-19,female
204,20-49,female
205,20-49,male
206,50-up,undefined
207,0-19,undefined
208,20-49,female
209,50-up,undefined
210,0-19,undefined
211,0-19,male
212,0-19,male
213,50-up,female
214,50-up,male
215,50-up,male
216,20-49,male
217,0-19,female
218,0-19,male
219,0-19,male
220,0-19,male
221,20-49,male
222,50-up,male
223,50-up,male
224,0-19,male
225,20-49,female
226,20-49,female
227,0-19,female
228,50-up,undefined
229,0-19,male
230,0-19,female
231,50-up,undefined
232,50-up,male
233,0-19,male
234,0-19,female
235,50-up,female
236,0-19,male
237,0-19,female
238,50-up,male
239,0-19,female
240,0-19,female
241,20-49,undefined
242,0-19,undefined
243,50-up,male
244,50-up,male
245,0-19,male
246,50-up,female
247,0-19,male
248,20-49,undefined
249,20-49,male
250,50-up,female
251,20-49,undefined
252,50-up,male
253,50-up,male
254,50-up,male
255,0-19,male
256,0-19,undefined
257,0-19,male
258,0-19,undefined
259,0-19,female
260,50-up,female
261,50-up,undefined
262,0-19,male
263,0-19,male
264,50-up,male
265,50-up,male
266,50-up,male
267,50-up,male
268,0-19,male
269,50-up,male
270,20-49,undefined
271,50-up,female
272,20-49,female
273,50-up,male
274,0-19,male
275,50-up,female
276,50-up,male
277,0-19,female
278,0-19,female
279,0-19,female
280,0-19,undefined
281,50-up,male
282,0-19,undefined
283,0-19,female
284,0-19,female
285,0-19,female
286,50-up,female
287,0-19,undefined
288,0-19,undefined
289,0-19,male
290,0-19,male
291,20-49,female
292,50-up,female
293,20-49,male
294,0-19,male
295,50-up,female
296,20-49,male
297,0-19,male
298,50-up,male
299,50-up,male
300,0-19,undefined
301,20-49,male
302,0-19,female
303,50-up,male
304,50-up,male
305,20-49,female
306,20-49,male
307,50-up,female
308,20-49,male
309,0-19,female
310,20-49,male
311,50-up,male
312,50-up,male
313,0-19,undefined
314,50-up,undefined
315,20-49,male
316,50-up,undefined
317,20-49,undefined
318,20-49,male
319,0-19,female
320,20-49,male
321,50-up,female
322,0-19,male
323,0-19,female
324,0-19,female
325,50-up,female
326,50-up,male
327,20-49,male
328,0-19,female
329,50-up,undefined
330,50-up,undefined
331,0-19,female
332,0-19,female
333,50-up,undefined
334,50-up,male
335,0-19,male
336,50-up,female
337,0-19,male
338,50-up,female
339,50-up,female
340,0-19,undefined
341,0-19,undefined
342,0-19,female
343,50-up,female
344,0-19,male
345,0-19,male
346,20-49,female
347,0-19,undefined
348,0-19,male
349,50-up,undefined
350,50-up,female
351,50-up,male
352,50-up,female
353,0-19,female
354,0-19,male
355,0-19,male
356,0-19,female
357,50-up,male
358,0-19,male
359,0-19,undefined
360,50-up,male
361,0-19,male
362,0-19,female
363,50-up,undefined
364,50-up,undefined
365,0-19,male
366,50-up,female
367,20-49,male
368,0-19,male
369,50-up,male
370,0-19,male
371,50-up,female
372,0-19,male
373,0-19,undefined
374,0-19,undefined
375,0-19,female
376,50-up,male
377,0-19,female
378,50-up,male
379,0-19,undefined
380,0-19,male
381,20-49,female
382,0-19,undefined
383,0-19,female
384,50-up,undefined
385,50-up,male
386,50-up,female
387,0-19,undefined
388,0-19,female
389,20-49,female
390,0-19,male
391,0-19,female
392,20-49,male
393,50-up,female
394,0-19,male
395,0-19,female
396,0-19,female
397,0-19,male
398,0-19,undefined
399,0-19,female
400,50-up,female
401,50-up,female
402,0-19,female
403,0-19,undefined
404,0-19,female
405,50-up,female
406,20-49,female
407,50-up,undefined
408,50-up,undefined
409,50-up,female
410,20-49,male
411,0-19,undefined
412,50-up,female
413,0-19,male
414,50-up,female
415,20-49,female
416,0-19,male
417,0-19,male
418,50-up,female
419,50-up,male
420,0-19,female
421,0-19,male
422,20-49,female
423,0-19,undefined
424,50-up,male
425,50-up,male
426,0-19,male
427,0-19,female
428,50-up,female
429,0-19,male
430,20-49,undefined
431,20-49,male
432,50-up,female
433,0-19,female
434,50-up,undefined
435,50-up,female
436,50-up,female
437,0-19,undefined
438,0-19,female
439,0-19,female
440,20-49,undefined
441,0-19,female
442,50-up,female
443,50-up,female
444,0-19,male
445,50-up,male
446,20-49,female
447,0-19,male
448,0-19,female
449,0-19,female
450,50-up,female
451,50-up,female
452,0-19,undefined
453,20-49,male
454,20-49,undefined
455,50-up,undefined
456,0-19,female
457,50-up,male
458,0-19,female
459,50-up,female
460,50-up,male
461,0-19,male
462,0-19,female
463,0-19,female
464,50-up,undefined
465,50-up,male
466,20-49,female
467,20-49,male
468,0-19,male
469,0-19,male
470,0-19,undefined
471,50-up,female
472,50-up,undefined
473,0-19,male
474,0-19,undefined
475,0-19,male
476,0-19,undefined
477,0-19,male
478,0-19,male
479,50-up,female
480,0-19,male
481,20-49,male
482,0-19,male
483,0-19,undefined
484,0-19,undefined
485,50-up,male
486,50-up,undefined
487,50-up,undefined
488,50-up,female
489,0-19,male
490,50-up,male
491,0-19,female
492,50-up,undefined
493,0-19,male
494,0-19,male
495,50-up,male
496,20-49,female
497,0-19,undefined
498,50-up,male
499,20-49,male
500,0-19,male
501,0-19,male
502,0-19,male
503,0-19,female
504,0-19,undefined
505,0-19,female
506,0-19,male
507,0-19,male
508,50-up,male
509,50-up,undefined
510,50-up,female
511,0-19,male
512,0-19,female
513,50-up,female
514,0-19,male
515,50-up,female
516,50-up,male
517,50-up,male
518,0-19,male
519,0-19,undefined
520,20-49,undefined
521,50-up,undefined
522,0-19,male
523,0-19,undefined
524,0-19,female
525,50-up,male
526,0-19,female
527,0-19,male
528,50-up,female
529,0-19,male
530,50-up,male
531,50-up,undefined
532,50-up,female
533,0-19,female
534,0-19,undefined
535,50-up,male
536,50-up,female
537,50-up,female
538,0-19,undefined
539,50-up,male
540,0-19,female
541,0-19,female
542,20-49,male
543,50-up,female
544,50-up,female
545,20-49,female
546,50-up,male
547,50-up,undefined
548,0-19,male
549,20-49,female
550,20-49,male
551,0-19,female
552,50-up,female
553,0-19,female
554,50-up,male
555,50-up,male
556,50-up,male
557,0-19,female
558,0-19,female
559,0-19,female
560,0-19,female
561,50-up,female
562,0-19,male
563,20-49,female
564,0-19,female
565,20-49,male
566,0-19,female
567,0-19,male
568,0-19,male
569,0-19,undefined
570,0-19,male
571,0-19,undefined
572,50-up,female
573,0-19,female
574,50-up,male
575,0-19,male
576,0-19,female
577,0-19,female
578,50-up,male
579,50-up,female
580,0-19,male
581,0-19,undefined
582,50-up,male
583,50-up,male
584,50-up,female
585,0-19,male
586,50-up,undefined
587,20-49,male
588,50-up,female
589,0-19,male
590,0-19,female
591,0-19,undefined
592,50-up,female
593,0-19,male
594,50-up,undefined
595,50-up,male
596,0-19,male
597,0-19,female
598,50-up,male
599,0-19,male
600,50-up,male
601,50-up,female
602,50-up,male
603,0-19,male
604,0-19,female
605,0-19,female
606,0-19,undefined
607,50-up,male
608,0-19,male
609,50-up,male
610,0-19,male
611,0-19,male
612,50-up,undefined
613,50-up,female
614,0-19,undefined
615,0-19,female
616,0-19,male
617,20-49,male
618,0-19,undefined
619,50-up,male
620,50-up,male
621,20-49,male
622,50-up,male
623,0-19,female
624,0-19,female
625,20-49,female
626,20-49,undefined
627,50-up,male
628,0-19,male
629,0-19,male
630,50-up,male
631,50-up,female
632,0-19,undefined
633,0-19,undefined
634,0-19,female
635,0-19,undefined
636,50-up,female
637,0-19,male
638,0-19,female
639,50-up,female
640,0-19,female
641,20-49,undefined
642,50-up,female
643,20-49,male
644,50-up,female
645,0-19,undefined
646,50-up,male
647,0-19,male
648,20-49,female
649,50-up,male
650,20-49,male
651,0-19,undefined
652,0-19,female
653,0-19,female
654,0-19,male
655,0-19,female
656,0-19,male
657,0-19,male
658,20-49,female
659,20-49,undefined
660,50-up,female
661,50-up,undefined
662,20-49,male
663,0-19,male
664,50-up,female
665,0-19,undefined
666,0-19,undefined
667,0-19,male
668,20-49,female
669,50-up,male
670,0-19,male
671,0-19,female
672,0-19,male
673,20-49,male
674,0-19,female
675,20-49,female
676,50-up,male
677,50-up,male
678,50-up,male
679,0-19,undefined
680,50-up,male
681,0-19,male
682,50-up,female
683,20-49,female
684,50-up,male
685,0-19,male
686,50-up,female
687,50-up,female
688,50-up,male
689,50-up,male
690,0-19,male
691,50-up,male
692,50-up,female
693,0-19,female
694,0-19,male
695,0-19,undefined
696,0-19,undefined
697,0-19,female
698,0-19,female
699,0-19,female
700,0-19,male
701,0-19,female
702,50-up,female
703,50-up,male
704,0-19,male
705,50-up,undefined
706,50-up,female
707,20-49,male
708,50-up,female
709,50-up,undefined
710,0-19,male
711,50-up,female
712,20-49,male
713,50-up,undefined
714,50-up,female
715,50-up,female
716,0-19,female
717,50-up,male
718,0-19,female
719,0-19,female
720,0-19,male
721,50-up,female
722,0-19,female
723,50-up,male
724,50-up,female
725,50-up,male
726,50-up,female
727,0-19,undefined
728,50-up,male
729,20-49,undefined
730,50-up,undefined
731,50-up,undefined
732,20-49,female
733,0-19,male
734,0-19,female
735,0-19,female
736,20-49,male
737,50-up,female
738,0-19,male
739,0-19,male
740,0-19,male
741,0-19,male
742,0-19,undefined
743,0-19,female
744,20-49,male
745,0-19,female
746,0-19,female
747,0-19,undefined
748,0-19,male
749,0-19,undefined
750,50-up,female
751,20-49,female
752,0-19,male
753,20-49,undefined
754,0-19,undefined
755,50-up,female
756,0-19,undefined
757,0-19,male
758,0-19,female
759,0-19,female
760,0-19,female
761,20-49,undefined
762,0-19,undefined
763,20-49,male
764,50-up,male
765,0-19,male
766,50-up,male
767,0-19,female
768,0-19,undefined
769,50-up,male
770,50-up,female
771,20-49,male
772,50-up,female
773,50-up,male
774,0-19,male
775,0-19,undefined
776,50-up,female
777,50-up,male
778,20-49,female
779,50-up,female
780,0-19,female
781,50-up,female
782,20-49,female
783,0-19,male
784,0-19,undefined
785,20-49,female
786,50-up,female
787,50-up,undefined
788,50-up,female
789,50-up,undefined
790,0-19,male
791,0-19,female
792,50-up,female
793,0-19,male
794,50-up,male
795,20-49,female
796,50-up,female
797,0-19,male
798,50-up,female
799,0-19,female
800,20-49,male
801,0-19,female
802,50-up,male
803,0-19,undefined
804,50-up,undefined
805,50-up,female
806,50-up,female
807,0-19,undefined
808,20-49,female
809,0-19,female
810,0-19,female
811,50-up,female
812,50-up,male
813,50-up,undefined
814,20-49,female
815,50-up,female
816,0-19,female
817,50-up,male
818,0-19,undefined
819,50-up,male
820,0-19,female
821,50-up,undefined
822,0-19,female
823,0-19,female
824,50-up,male
825,0-19,undefined
826,50-up,female
827,50-up,undefined
828,50-up,male
829,0-19,female
830,0-19,male
831,50-up,female
832,0-19,female
833,50-up,male
834,0-19,male
835,50-up,female
836,0-19,female
837,50-up,female
838,20-49,undefined
839,0-19,male
840,50-up,male
841,20-49,male
842,0-19,female
843,0-19,male
844,0-19,male
845,0-19,male
846,20-49,male
847,0-19,undefined
848,0-19,female
849,0-19,female
850,50-up,female
851,50-up,female
852,20-49,female
853,50-up,male
854,50-up,male
855,50-up,male
856,50-up,male
857,50-up,female
858,50-up,female
859,0-19,male
860,0-19,female
861,0-19,male
862,0-19,female
863,0-19,female
864,0-19,female
865,20-49,female
866,50-up,female
867,0-19,male
868,50-up,male
869,20-49,male
870,0-19,male
871,20-49,undefined
872,50-up,male
873,20-49,male
874,0-19,female
875,50-up,female
876,50-up,male
877,0-19,male
878,20-49,male
879,50-up,male
880,50-up,female
881,0-19,female
882,20-49,male
883,0-19,undefined
884,20-49,male
885,50-up,undefined
886,20-49,female
887,0-19,male
888,50-up,male
889,0-19,female
890,50-up,female
891,50-up,female
892,50-up,male
893,50-up,male
894,50-up,female
895,50-up,undefined
896,0-19,male
897,0-19,female
898,0-19,female
899,50-up,female
900,0-19,male
901,0-19,male
902,50-up,female
903,50-up,male
904,0-19,female
905,0-19,male
906,20-49,male
907,0-19,male
908,0-19,female
909,50-up,male
910,0-19,female
911,50-up,female
912,50-up,female
913,0-19,undefined
914,0-19,female
915,20-49,female
916,0-19,undefined
917,50-up,undefined
918,0-19,female
919,20-49,undefined
920,0-19,male
921,50-up,male
922,0-19,male
923,0-19,female
924,50-up,female
925,20-49,male
926,0-19,female
927,0-19,male
928,50-up,undefined
929,50-up,undefined
930,0-19,male
931,0-19,female
932,0-19,undefined
933,0-19,male
934,0-19,female
935,0-19,undefined
936,50-up,female
937,0-19,male
938,50-up,undefined
939,0-19,undefined
940,0-19,female
941,0-19,male
942,0-19,female
943,0-19,female
944,0-19,female
945,0-19,female
946,0-19,undefined
947,0-19,female
948,50-up,male
949,20-49,female
950,0-19,female
951,20-49,female
952,20-49,female
953,20-49,male
954,0-19,undefined
955,20-49,male
956,50-up,undefined
957,0-19,male
958,50-up,undefined
959,0-19,male
960,20-49,male
961,0-19,female
962,0-19,female
963,0-19,female
964,50-up,male
965,50-up,male
966,0-19,male
967,20-49,female
968,20-49,female
969,50-up,undefined
970,0-19,undefined
971,0-19,undefined
972,0-19,male
973,50-up,male
974,50-up,female
975,20-49,female
976,50-up,male
977,50-up,undefined
978,50-up,male
979,20-49,female
980,0-19,female
981,50-up,male
982,20-49,male
983,0-19,male
984,0-19,female
985,20-49,male
986,0-19,undefined
987,50-up,female
988,0-19,male
989,50-up,female
990,0-19,female
991,0-19,male
992,0-19,undefined
993,0-19,male
994,0-19,female
995,20-49,female
996,20-49,male
997,20-49,male
998,50-up,male
999,0-19,female
1000,50-up,undefined
1001,0-19,male
1002,0-19,male
1003,50-up,female
1004,0-19,female
1005,50-up,male
1006,50-up,female
1007,0-19,female
1008,0-19,male
1009,50-up,female
1010,50-up,female
1011,50-up,male
1012,50-up,male
1013,20-49,undefined
1014,0-19,female
1015,50-up,female
1016,20-49,female
1017,0-19,female
1018,0-19,female
1019,20-49,female
1020,0-19,female
1021,20-49,undefined
1022,50-up,female
1023,0-19,male
1024,50-up,male
1025,20-49,female
1026,0-19,female
1027,20-49,female
1028,50-up,undefined
1029,50-up,undefined
1030,50-up,male
1031,0-19,female
1032,0-19,male
1033,0-19,male
1034,50-up,male
1035,50-up,male
1036,50-up,female
1037,0-19,undefined
1038,50-up,female
1039,0-19,undefined
1040,50-up,female
1041,20-49,female
1042,20-49,undefined
1043,0-19,male
1044,0-19,male
1045,50-up,female
1046,0-19,female
1047,50-up,female
1048,0-19,female
1049,50-up,male
1050,50-up,male
1051,50-up,female
1052,50-up,undefined
1053,0-19,male
1054,0-19,female
1055,50-up,male
1056,0-19,male
1057,0-19,female
1058,50-up,undefined
1059,50-up,male
1060,0-19,female
1061,20-49,undefined
1062,20-49,female
1063,0-19,female
1064,0-19,female
1065,20-49,female
1066,0-19,undefined
1067,0-19,female
1068,0-19,female
1069,50-up,male
1070,0-19,undefined
1071,20-49,undefined
1072,0-19,undefined
1073,0-19,female
1074,50-up,female
1075,20-49,male
1076,0-19,undefined
1077,0-19,female
1078,20-49,female
1079,50-up,female
1080,20-49,female
1081,0-19,female
1082,0-19,female
1083,50-up,undefined
1084,50-up,undefined
1085,0-19,female
1086,50-up,male
1087,0-19,male
1088,0-19,female
1089,0-19,undefined
1090,20-49,undefined
1091,20-49,female
1092,0-19,female
1093,0-19,female
1094,20-49,male
1095,50-up,female
1096,0-19,male
1097,50-up,female
1098,0-19,undefined
1099,20-49,female
1100,50-up,undefined
1101,50-up,male
1102,50-up,male
1103,0-19,male
1104,50-up,undefined
1105,0-19,male
1106,0-19,undefined
1107,50-up,male
1108,20-49,male
1109,50-up,male
1110,50-up,female
1111,50-up,undefined
1112,0-19,male
1113,0-19,female
1114,0-19,male
1115,50-up,female
1116,20-49,male
1117,0-19,undefined
1118,0-19,undefined
1119,20-49,male
1120,20-49,male
1121,0-19,undefined
1122,50-up,undefined
1123,20-49,female
1124,0-19,female
1125,50-up,female
1126,0-19,female
1127,50-up,undefined
1128,20-49,female
1129,50-up,female
1130,0-19,male
1131,50-up,female
1132,0-19,male
1133,20-49,male
1134,20-49,female
1135,0-19,undefined
1136,0-19,female
1137,50-up,undefined
1138,50-up,male
1139,50-up,undefined
1140,0-19,male
1141,50-up,male
1142,50-up,undefined
1143,50-up,female
1144,50-up,female
1145,50-up,undefined
1146,20-49,female
1147,0-19,male
1148,50-up,male
1149,0-19,undefined
1150,50-up,male
1151,50-up,undefined
1152,20-49,male
1153,20-49,female
1154,0-19,female
1155,0-19,male
1156,50-up,female
1157,20-49,undefined
1158,50-up,undefined
1159,0-19,male
1160,20-49,female
1161,50-up,male
1162,50-up,female
1163,50-up,female
1164,0-19,male
1165,0-19,male
1166,50-up,male
1167,0-19,male
1168,0-19,male
1169,0-19,female
1170,50-up,male
1171,0-19,male
1172,0-19,male
1173,50-up,female
1174,50-up,female
1175,20-49,female
1176,0-19,undefined
1177,0-19,male
1178,20-49,male
1179,0-19,male
1180,0-19,male
1181,0-19,undefined
1182,0-19,male
1183,20-49,female
1184,0-19,female
1185,50-up,female
1186,0-19,male
1187,50-up,female
1188,50-up,female
1189,50-up,male
1190,20-49,male
1191,50-up,female
1192,0-19,female
1193,0-19,female
1194,0-19,male
1195,20-49,undefined
1196,50-up,female
1197,0-19,female
1198,0-19,male
1199,0-19,male
1200,0-19,female
1201,20-49,female
1202,0-19,female
1203,0-19,male
1204,50-up,undefined
1205,0-19,male
1206,0-19,male
1207,50-up,female
1208,50-up,male
1209,0-19,male
1210,50-up,undefined
1211,20-49,male
1212,50-up,female
1213,20-49,female
1214,0-19,female
1215,50-up,female
1216,20-49,female
1217,0-19,undefined
1218,20-49,male
1219,0-19,undefined
1220,50-up,male
1221,20-49,female
1222,0-19,male
1223,50-up,male
1224,50-up,female
1225,50-up,male
1226,50-up,female
1227,50-up,undefined
1228,0-19,undefined
1229,20-49,male
1230,50-up,female
1231,50-up,male
1232,20-49,female
1233,0-19,female
1234,0-19,undefined
1235,50-up,female
1236,0-19,female
1237,20-49,male
1238,50-up,female
1239,50-up,undefined
1240,0-19,male
1241,50-up,female
1242,0-19,undefined
1243,0-19,female
1244,20-49,female
1245,0-19,female
1246,50-up,male
1247,20-49,female
1248,0-19,female
1249,50-up,female
1250,0-19,male
1251,0-19,male
1252,50-up,female
1253,20-49,female
1254,20-49,undefined
1255,20-49,undefined
1256,50-up,male
1257,50-up,female
1258,50-up,male
1259,20-49,female
1260,20-49,male
1261,50-up,female
1262,0-19,male
1263,0-19,male
1264,0-19,undefined
1265,50-up,female
1266,0-19,undefined
1267,20-49,female
1268,0-19,female
1269,50-up,female
1270,50-up,male
1271,0-19,female
1272,50-up,male
1273,0-19,undefined
1274,50-up,female
1275,20-49,female
1276,0-19,male
1277,0-19,male
1278,50-up,undefined
1279,0-19,male
1280,0-19,female
1281,0-19,female
1282,0-19,undefined
1283,0-19,male
1284,50-up,undefined
1285,20-49,male
1286,0-19,undefined
1287,20-49,male
1288,50-up,female
1289,0-19,female
1290,50-up,undefined
1291,50-up,male
1292,0-19,female
1293,0-19,female
1294,0-19,male
1295,50-up,male
1296,50-up,male
1297,0-19,male
1298,0-19,female
1299,0-19,female
1300,0-19,male
1301,50-up,undefined
1302,0-19,female
1303,0-19,female
1304,20-49,female
1305,50-up,undefined
1306,0-19,undefined
1307,50-up,female
1308,50-up,female
1309,0-19,male
1310,50-up,male
1311,20-49,male
1312,50-up,undefined
1313,0-19,female
1314,50-up,undefined
1315,20-49,undefined
1316,0-19,undefined
1317,50-up,male
1318,20-49,undefined
1319,0-19,female
1320,0-19,male
1321,20-49,male
1322,0-19,male
1323,20-49,female
1324,0-19,female
1325,0-19,female
1326,20-49,female
1327,50-up,male
1328,0-19,female
1329,20-49,male
1330,50-up,undefined
1331,0-19,male
1332,50-up,male
1333,0-19,male
1334,50-up,undefined
1335,50-up,male
1336,0-19,male
1337,50-up,male
1338,0-19,male
1339,0-19,male
1340,20-49,male
1341,20-49,female
1342,0-19,male
1343,0-19,male
1344,50-up,female
1345,0-19,undefined
1346,20-49,male
1347,0-19,female
1348,0-19,female
1349,50-up,female
1350,0-19,female
1351,0-19,female
1352,0-19,female
1353,50-up,male
1354,50-up,undefined
1355,50-up,undefined
1356,50-up,male
1357,50-up,female
1358,0-19,male
1359,50-up,male
1360,0-19,male
1361,0-19,male
1362,20-49,female
1363,50-up,female
1364,20-49,female
1365,0-19,female
1366,50-up,male
1367,20-49,undefined
1368,50-up,male
1369,20-49,female
1370,50-up,undefined
1371,0-19,female
1372,50-up,male
1373,50-up,male
1374,50-up,male
1375,0-19,male
1376,0-19,female
1377,0-19,female
1378,0-19,female
1379,50-up,male
1380,20-49,male
1381,0-19,female
1382,0-19,female
1383,0-19,undefined
1384,50-up,female
1385,50-up,male
1386,50-up,female
1387,50-up,male
1388,0-19,undefined
1389,20-49,male
1390,0-19,male
1391,0-19,male
1392,0-19,female
1393,0-19,female
1394,50-up,male
1395,0-19,female
1396,50-up,undefined
1397,20-49,male
1398,0-19,female
1399,20-49,undefined
1400,20-49,undefined
1401,50-up,male
1402,0-19,female
1403,0-19,undefined
1404,0-19,female
1405,50-up,female
1406,0-19,male
1407,20-49,undefined
1408,20-49,female
1409,20-49,undefined
1410,50-up,female
1411,0-19,female
1412,20-49,undefined
1413,50-up,undefined
1414,0-19,male
1415,50-up,male
1416,0-19,female
1417,20-49,male
1418,0-19,male
1419,20-49,male
1420,0-19,male
1421,50-up,male
1422,0-19,undefined
1423,20-49,female
1424,20-49,male
1425,0-19,undefined
1426,20-49,male
1427,0-19,male
1428,50-up,male
1429,0-19,undefined
1430,20-49,male
1431,0-19,male
1432,50-up,male
1433,20-49,female
1434,0-19,female
1435,0-19,female
1436,20-49,male
1437,50-up,undefined
1438,0-19,undefined
1439,50-up,female
1440,50-up,male
1441,20-49,male
1442,0-19,female
1443,50-up,female
1444,20-49,male
1445,0-19,undefined
1446,50-up,male
1447,0-19,female
1448,0-19,undefined
1449,20-49,undefined
1450,20-49,male
1451,20-49,male
1452,50-up,male
1453,50-up,male
1454,0-19,male
1455,0-19,female
1456,20-49,male
1457,0-19,female
1458,50-up,undefined
1459,50-up,female
1460,0-19,female
1461,0-19,female
1462,0-19,undefined
1463,50-up,undefined
1464,0-19,female
1465,20-49,undefined
1466,20-49,male
1467,20-49,male
1468,50-up,undefined
1469,0-19,male
1470,0-19,female
1471,50-up,female
1472,20-49,male
1473,0-19,male
1474,50-up,undefined
1475,0-19,male
1476,0-19,female
1477,20-49,male
1478,50-up,male
1479,50-up,female
1480,50-up,undefined
1481,0-19,male
1482,0-19,female
1483,0-19,female
1484,0-19,male
1485,20-49,undefined
1486,20-49,undefined
1487,0-19,male
1488,0-19,male
1489,50-up,male
1490,50-up,undefined
1491,20-49,undefined
1492,20-49,undefined
1493,0-19,male
1494,0-19,male
1495,50-up,female
1496,0-19,female
1497,50-up,male
1498,20-49,female
1499,50-up,male
1500,50-up,female
1501,20-49,male
1502,20-49,male
1503,50-up,undefined
1504,0-19,undefined
1505,0-19,male
1506,0-19,female
1507,50-up,male
1508,50-up,female
1509,50-up,female
1510,0-19,female
1511,50-up,male
1512,0-19,male
1513,20-49,undefined
1514,0-19,male
1515,0-19,female
1516,20-49,male
1517,0-19,undefined
1518,0-19,male
1519,50-up,female
1520,0-19,male
1521,0-19,female
1522,50-up,undefined
1523,0-19,male
1524,20-49,female
1525,50-up,female
1526,50-up,female
1527,50-up,female
1528,0-19,male
1529,0-19,male
1530,50-up,male
1531,50-up,undefined
1532,50-up,female
1533,50-up,female
1534,0-19,female
1535,50-up,female
1536,50-up,female
1537,0-19,female
1538,20-49,male
1539,0-19,male
1540,50-up,undefined
1541,50-up,female
1542,20-49,undefined
1543,20-49,male
1544,50-up,male
1545,0-19,female
1546,0-19,male
1547,0-19,female
1548,50-up,undefined
1549,50-up,female
1550,0-19,undefined
1551,50-up,male
1552,0-19,male
1553,0-19,female
1554,0-19,male
1555,0-19,male
1556,0-19,male
1557,0-19,female
1558,50-up,male
1559,50-up,male
1560,0-19,male
1561,20-49,undefined
1562,20-49,male
1563,20-49,male
1564,0-19,male
1565,20-49,male
1566,0-19,male
1567,50-up,undefined
1568,0-19,male
1569,50-up,female
1570,0-19,female
1571,20-49,male
1572,20-49,female
1573,50-up,male
1574,50-up,female
1575,50-up,female
1576,0-19,male
1577,0-19,female
1578,0-19,female
1579,50-up,female
1580,0-19,male
1581,0-19,female
1582,0-19,undefined
1583,20-49,male
1584,0-19,male
1585,0-19,female
1586,50-up,female
1587,50-up,male
1588,0-19,undefined
1589,50-up,undefined
1590,0-19,female
1591,0-19,female
1592,50-up,undefined
1593,0-19,undefined
1594,0-19,male
1595,50-up,female
